gender,orientation,gender_orientation,age,ethnicity,country,education_phase,religion_type,religion_seriosity,man_with_100,woman_with_100
Man,Straight,Hetero_male,44,White,LA,Graduated from,Agnosticism,and laughing about it,No,No
Woman,Bisexual,Bisexual_female,23,White,IL,Working on,Other,NA,No,No
Woman,Bisexual,Bisexual_female,44,White,TN,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,29,White,OH,Graduated from,Catholicism,NA,Yes,Yes
Man,Straight,Hetero_male,34,White,PA,Dropped out of,Atheism,and laughing about it,No,No
Man,Straight,Hetero_male,37,White,FL,Graduated from,Judaism,NA,No,No
Man,Straight,Hetero_male,29,White,MN,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,26,NA,AZ,NA,-,NA,No,No
Woman,Straight,Hetero_female,37,Black,FL,Graduated from,Christianity,and very serious about it,Yes,No
Woman,Straight,Hetero_female,25,White,NY,Graduated from,Agnosticism,NA,No,No
Man,Gay,Gay_male,27,Hispanic / Latin,IL,Graduated from,Catholicism,NA,No,No
Man,Straight,Hetero_male,35,White,Ontario,Working on,-,NA,No,Yes
Man,Straight,Hetero_male,29,White,NH,Graduated from,-,NA,No,No
Man,Gay,Gay_male,51,White,DC,Graduated from,Atheism,NA,No,No
Man,Straight,Hetero_male,25,White,UK,Graduated from,Agnosticism,and very serious about it,No,No
Man,Straight,Hetero_male,33,White,PA,Dropped out of,-,NA,Yes,Yes
Man,Straight,Hetero_male,45,White,MD,NA,-,NA,No,No
Man,Straight,Hetero_male,41,White,NJ,Graduated from,Other,NA,No,No
Woman,Straight,Hetero_female,33,"Asian, Middle Eastern, Black, Native American, Indian, Pacific Islander, Hispanic / Latin, White, Other",WA,Graduated from,Atheism,and laughing about it,No,No
Woman,Straight,Hetero_female,31,Other,CA,Graduated from,Other,and very serious about it,No,Yes
Man,Straight,Hetero_male,23,NA,Sweden,Working on,-,NA,No,No
Man,Straight,Hetero_male,29,White,TX,Graduated from,Other,and very serious about it,No,Yes
Man,Straight,Hetero_male,30,Other,MA,Graduated from,Catholicism,and laughing about it,No,No
Man,Straight,Hetero_male,38,White,IL,Graduated from,Agnosticism,and laughing about it,No,No
Woman,Straight,Hetero_female,28,White,CA,Dropped out of,Christianity,NA,No,No
Man,Straight,Hetero_male,40,White,France,NA,-,NA,No,No
Woman,Gay,Gay_female,47,White,CA,Graduated from,Christianity,and somewhat serious about it,No,No
Man,Straight,Hetero_male,43,White,PA,NA,Agnosticism,and laughing about it,No,No
Woman,Straight,Hetero_female,30,White,CA,NA,Catholicism,but not too serious about it,No,No
Man,Straight,Hetero_male,24,"Middle Eastern, Hispanic / Latin, White, Other",TX,Working on,-,NA,No,No
Man,Straight,Hetero_male,40,White,FL,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,29,White,NY,Graduated from,Atheism,and laughing about it,No,No
Man,Bisexual,Bisexual_male,32,White,NM,Graduated from,Agnosticism,and laughing about it,No,No
Man,Straight,Hetero_male,34,White,MA,Graduated from,Atheism,NA,No,No
Woman,Straight,Hetero_female,25,White,NY,Graduated from,-,NA,No,No
Man,Gay,Gay_male,24,White,NY,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,32,Black,CA,Graduated from,-,NA,No,No
Woman,Bisexual,Bisexual_female,41,White,GA,NA,Other,and laughing about it,No,No
Woman,Straight,Hetero_female,35,White,MI,Graduated from,Atheism,and somewhat serious about it,No,No
Man,Gay,Gay_male,31,"Native American, Hispanic / Latin, White",GA,Graduated from,Agnosticism,and laughing about it,No,No
Man,Straight,Hetero_male,47,White,Ontario,Dropped out of,Agnosticism,and somewhat serious about it,No,No
Woman,Straight,Hetero_female,34,White,MI,NA,Agnosticism,NA,No,No
Woman,Straight,Hetero_female,31,White,NY,NA,Atheism,NA,No,No
Man,Straight,Hetero_male,32,NA,Ireland,NA,Atheism,but not too serious about it,No,No
Man,Gay,Gay_male,29,White,CA,Graduated from,-,NA,No,Yes
Man,Straight,Hetero_male,29,White,Ontario,Graduated from,Catholicism,but not too serious about it,No,No
Man,Gay,Gay_male,26,White,Kuwait,NA,Islam,NA,No,No
Man,Gay,Gay_male,31,Indian,Ontario,Dropped out of,-,NA,No,No
Woman,Straight,Hetero_female,39,White,MI,Graduated from,Agnosticism,and somewhat serious about it,No,No
Woman,Gay,Gay_female,31,White,CA,Working on,Christianity,and somewhat serious about it,Yes,Yes
Man,Straight,Hetero_male,38,White,South Africa,Graduated from,Atheism,and somewhat serious about it,No,No
Man,Straight,Hetero_male,36,NA,WI,Working on,-,NA,No,No
Man,Straight,Hetero_male,33,White,FL,Graduated from,Hinduism,and laughing about it,No,No
Man,Straight,Hetero_male,27,White,Australia,Graduated from,Atheism,and somewhat serious about it,No,No
Man,Gay,Gay_male,45,Black,GA,Graduated from,Other,and very serious about it,No,No
Man,Straight,Hetero_male,32,White,UK,NA,-,NA,No,No
Man,Straight,Hetero_male,25,White,MD,Graduated from,Atheism,NA,No,No
Man,Gay,Gay_male,28,NA,CA,NA,Atheism,and laughing about it,No,No
Man,Straight,Hetero_male,40,White,CO,Graduated from,Other,but not too serious about it,No,No
Man,Straight,Hetero_male,33,NA,OH,Graduated from,Atheism,and very serious about it,No,No
Man,Straight,Hetero_male,33,"Hispanic / Latin, White",NH,NA,-,NA,No,No
